Date,Close,High,Low,Open,Volume,return,direction
2025-03-18,22834.30078125,22857.80078125,22599.19921875,22662.25,272600,0.01446329899483545,1
2025-03-19,22907.599609375,22940.69921875,22807.94921875,22874.94921875,324000,0.0032100316461272094,1
2025-03-20,23190.650390625,23216.69921875,22973.94921875,23036.599609375,313700,0.012356195589090069,1
2025-03-21,23350.400390625,23402.69921875,23132.80078125,23168.25,541000,0.0068885519512889015,1
2025-03-24,23658.349609375,23708.75,23433.5,23515.400390625,311900,0.013188177230298859,1
2025-03-25,23668.650390625,23869.599609375,23601.400390625,23751.5,338200,0.00043539728764163677,0
2025-03-26,23486.849609375,23736.5,23451.69921875,23700.94921875,278600,-0.007681079328545448,1
2025-03-27,23591.94921875,23646.44921875,23412.19921875,23433.94921875,510300,0.004474827877002596,0
2025-03-28,23519.349609375,23649.19921875,23450.19921875,23600.400390625,295400,-0.0030773044101545244,0
2025-04-01,23165.69921875,23565.150390625,23136.400390625,23341.099609375,314300,-0.015036571865236992,1
2025-04-02,23332.349609375,23350.0,23158.44921875,23192.599609375,341000,0.0071938424586863725,0
2025-04-03,23250.099609375,23306.5,23145.80078125,23150.30078125,283200,-0.0035251486188494496,0
2025-04-04,22904.44921875,23214.69921875,22857.44921875,23190.400390625,466800,-0.014866619775066536,0
2025-04-07,22161.599609375,22254.0,21743.650390625,21758.400390625,647100,-0.03243254628305536,1
2025-04-08,22535.849609375,22697.19921875,22270.849609375,22446.75,468300,0.016887318902814252,0
2025-04-09,22399.150390625,22468.69921875,22353.25,22460.30078125,383800,-0.006065856008070525,1
2025-04-11,22828.55078125,22923.900390625,22695.400390625,22695.400390625,402200,0.019170387409190415,1
2025-04-15,23328.55078125,23368.349609375,23207.0,23368.349609375,388300,0.02190239778210845,1
2025-04-16,23437.19921875,23452.19921875,23273.05078125,23344.099609375,348400,0.004657316201027051,1
2025-04-17,23851.650390625,23872.349609375,23298.55078125,23401.849609375,505300,0.017683476937954135,1
2025-04-21,24125.55078125,24189.55078125,23903.650390625,23949.150390625,406100,0.011483498464016417,1
2025-04-22,24167.25,24242.599609375,24072.0,24185.400390625,440900,0.0017284255654137493,1
2025-04-23,24328.94921875,24359.30078125,24119.94921875,24357.599609375,415000,0.006690840652122221,0
2025-04-24,24246.69921875,24347.849609375,24216.150390625,24277.900390625,358800,-0.0033807460922566923,0
2025-04-25,24039.349609375,24365.44921875,23847.849609375,24289.0,387700,-0.00855166336268387,1
