date,Close,High,Low,Open,Volume,return,direction,sentiment_mean,sentiment_std,headline_count,return_1d,return_3d,return_5d,volatility_5d,volume_change,sentiment_1d,sentiment_3d,sentiment_7d,sentiment_momentum
2025-03-25,23668.650390625,23869.599609375,23601.400390625,23751.5,338200,0.0004353972876416,0,-0.26785014684383684,0.7804552340236871,13,0.0131881772302988,0.010810974923559235,0.01002125108232806,0.004780682241769032,-0.42347504621072085,-0.06426106890042622,-0.3599482435082632,-0.2856108925282521,0.2213498236278259
2025-03-26,23486.849609375,23736.5,23451.69921875,23700.94921875,278600,-0.0076810793285454,1,-0.07819762229919433,0.8002122773617926,15,0.0004353972876416,0.006837375489743101,0.0072156707408893,0.005572703312617204,0.08432189804424506,-0.26785014684383684,-0.2965027582587194,-0.2847266660651811,0.016876519221344255
2025-03-27,23591.94921875,23646.44921875,23412.19921875,23433.94921875,510300,0.0044748278770025,0,-0.013260621577501297,0.8082348882520153,16,-0.0076810793285454,0.001980831729798335,0.00503744854595478,0.008751640521396667,-0.17622708456534597,-0.07819762229919433,-0.13676961268115248,-0.2671057133801046,0.18890809108091025
2025-03-28,23519.349609375,23649.19921875,23450.19921875,23600.400390625,295400,-0.0030773044101545,0,-0.12704262312720804,0.8178701355309987,17,0.0044748278770025,-0.0009236180546337647,0.0034611750035372798,0.007757160234198356,0.8316582914572865,-0.013260621577501297,-0.11976946357351081,-0.2513272790207396,0.2380666574432383
2025-04-01,23165.69921875,23565.150390625,23136.400390625,23341.099609375,314300,-0.0150365718652369,1,-0.5085134665171306,0.7303265289312582,15,-0.0030773044101545,-0.002094518620565798,0.0014680037312486001,0.007934659433366072,-0.421124828532236,-0.12704262312720804,-0.07283362233463456,-0.22374224919607572,0.09669962606886767
2025-04-02,23332.349609375,23350.0,23158.44921875,23192.599609375,341000,0.0071938424586863,0,-0.43118834495544434,0.6674137488067113,18,-0.0150365718652369,-0.004546349466129631,-0.00417694608785854,0.007542322881001222,0.06398104265402837,-0.5085134665171306,-0.21627223707394663,-0.2309318011853132,-0.2775816653318174
2025-04-03,23250.099609375,23306.5,23145.80078125,23150.30078125,283200,-0.0035251486188494,0,-0.2891711843641181,0.7728100831757316,19,0.0071938424586863,-0.0036400112722350317,-0.0028252570536495994,0.009033719365463625,0.08495068405981554,-0.43118834495544434,-0.35558147819992764,-0.21290198488867737,-0.21828636006676697
2025-04-04,22904.44921875,23214.69921875,22857.44921875,23190.400390625,466800,-0.0148666197750665,0,-0.2691967375576496,0.755333611758549,16,-0.0035251486188494,-0.003789292675133332,-0.0019940709117104,0.008658649267072707,-0.16950146627565987,-0.2891711843641181,-0.40962433194556436,-0.24503200138349052,-0.04413918298062758
2025-04-07,22161.599609375,22254.0,21743.650390625,21758.400390625,647100,-0.0324325462830553,1,0.014549903074900294,0.8451459568418097,15,-0.0148666197750665,-0.003732641978409864,-0.0058623604421242,0.009339785486910942,0.6483050847457628,-0.2691967375576496,-0.32985208895907064,-0.24522437148546375,-0.023972366072185863
2025-04-08,22535.849609375,22697.19921875,22270.849609375,22446.75,468300,0.0168873189028142,0,-0.14198447267214453,0.8252326860950692,18,-0.0324325462830553,-0.016941438225657066,-0.011733408816704361,0.014788496925001811,0.38624678663239065,0.014549903074900294,-0.1812726729489558,-0.23197472500345023,0.24652462807835052
2025-04-09,22399.150390625,22468.69921875,22353.25,22460.30078125,383800,-0.0060658560080705,1,-0.34193626046180725,0.812222111107759,22,0.0168873189028142,-0.010137282385102529,-0.00534863066309414,0.01923022863825784,-0.27630968938340283,-0.14198447267214453,-0.13221043571829796,-0.2503638465883993,0.10837937391625474
2025-04-11,22828.55078125,22923.900390625,22695.400390625,22695.400390625,402200,0.0191703874091904,1,-0.26728408336639403,0.7779137611917363,15,-0.0060658560080705,-0.00720369446277053,-0.0080005703564455,0.017939088838467503,-0.18043988896006835,-0.34193626046180725,-0.15645694335301716,-0.28106293763619916,-0.06087332282560809
